Date,Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
2000-01-01,-0.40769240087947245,-1.4069341012629615,-0.4750667939573696,-0.8870478741362372,0.0,-1.0527135557165526,-0.9310885194403685,-0.9214481887077817
2000-01-02,-0.40769240087947245,-1.4069341012629615,-0.4750667939573696,-0.7838310290226127,0.0,-0.65949198946385,-0.6300477853541979,-0.7577081766066172
2000-01-03,-0.2980772167298006,-1.4069341012629615,0.04533432850454821,-1.130736051984115,0.0,-0.08240293158372652,-0.15215803916460047,-0.4289145136994529
2000-01-04,0.21231848446710908,-1.4067010427106434,1.1657273333343243,-1.3119681770562326,0.0,-0.1452091539713109,0.07933533061123363,-0.23354612355109958
2000-01-05,0.5617168839441882,-1.3825559219816723,1.1755231191689015,-1.0026098337751288,0.0,-0.1397477433289122,-0.5128107998024879,-0.6897425310010609
2000-01-06,-0.05829400140239336,-1.3629204205628593,-0.4750667939573696,-0.798367583996152,0.0,-1.4058847772583316,-1.3563209755092827,-1.1263758266620902
2000-01-07,-0.17476013456141973,-1.3629204205628593,-0.4750667939573696,-0.7365689633548739,0.0,-1.260247160127701,-1.2589546654748116,-1.077286158753706
2000-01-08,-0.26039699717835085,-1.3629204205628593,-0.4750667939573696,-1.0697409595072032,0.0,-1.0335986184681571,-0.70754341987143,-0.8199544413895826
2000-01-09,-0.3220555382625413,-1.3629204205628593,-0.4750667939573696,-1.1631693706185446,0.0,-1.1555701228150603,-0.766161912647285,-0.8568777939085691
2000-01-10,0.058172131756633,-1.3385447883695734,-0.4750667939573696,-0.9699573710958719,0.0,-0.7395926788856968,-0.46909531366456214,-0.6735140405397878
2000-01-11,0.9864757225241667,-1.3189080134067588,2.6571357266487143,-1.8092790627841562,0.0,-0.7250289171726337,-0.019024513199099306,-0.32089299250953374
2000-01-12,0.19519111194372285,-1.3189080134067588,-0.4518018026002486,-1.006700522611904,0.0,-0.5702889489713387,-0.25051788297493344,-0.5012859014227643
2000-01-13,-0.1062506444678748,-1.3189080134067588,-0.4750667939573696,-1.3111646488918662,0.0,-1.1937999973118507,-0.6956210145610865,-0.8274927065727146
2000-01-14,-0.16790918555206524,-1.3109674665559157,0.13227192778642152,-0.9193350967407821,0.0,-1.6862371902347955,-2.0418592808540277,-1.3080419546276998
2000-01-15,-0.05829400140239336,-1.2748943327066566,-0.4750667939573696,-0.6681229733538362,0.0,-2.0912918128793616,-2.1143872464919498,-1.3202284798433257
2000-01-16,-0.16790918555206524,-1.2748943327066566,-0.4750667939573696,-0.4288176764025028,0.0,-1.7645174094425093,-2.0408657470781657,-1.3186723232237516
2000-01-17,-0.2706734206923826,-1.2748943327066566,-0.4750667939573696,-0.17943175338911713,0.0,-1.2274786962733093,-2.246527238681589,-1.3481988793432038
2000-01-18,-0.3049281657391551,-1.2363874562700738,-0.4750667939573696,-1.081282545868104,0.0,-2.7193540367552056,-2.4452339938539787,-1.3925998675666371
2000-01-19,-0.33918291078592755,-1.2308806520065545,-0.4750667939573696,-0.5129689896161587,0.0,-2.1959688501920023,-2.3270034745264065,-1.3764522164102768
2000-01-20,-0.3734376558327,-1.2308806520065545,-0.4750667939573696,-0.8543954114569802,0.0,-2.0430493522048403,-1.853087863440257,-1.2393891749303836
2000-01-21,-0.3939905028607635,-1.2065024727252645,-0.21425399611174964,-1.1001289337232454,0.0,-1.9957171266373852,-1.6533875744920055,-1.2354482588158775
2000-01-22,-0.40769240087947245,-1.1868656977624503,-0.4750667939573696,-0.604059864249343,0.0,-2.3661828152134268,-2.3627706904574373,-1.3803325030460982
2000-01-23,-0.4213942988981814,-1.1868656977624503,-0.4750667939573696,-0.6224679640148303,0.0,-2.436270918457543,-2.4084732441470864,-1.3945198010583195
2000-01-24,-0.43509619691689044,-1.1624887920251623,-0.4750667939573696,-0.4567220181105031,0.0,-1.8965014999671432,-1.9653571801126575,-1.319056309922088
2000-01-25,-0.4419471459262449,-1.142853290606349,-0.4750667939573696,-0.38520801148188455,0.0,-1.2110944643461132,-1.29372834762998,-1.077710565104499
2000-01-26,-0.4453726204309222,-1.142853290606349,2.336323740566309,-1.4753765864824027,0.0,-1.561534980566693,-1.0741573831644893,-1.0023481230994085
2000-01-27,-0.4487980949355994,-1.1043476877137686,-0.4750667939573696,-0.39324329312554934,0.0,-1.6343537891320083,-1.659348777147177,-1.2382170050091457
2000-01-28,-0.4556490439449539,-1.098840883450249,-0.4750667939573696,-0.821523804732896,0.0,-2.346157642857965,-2.1024648411816065,-1.3202284798433257
